Ticker,Last Close,HMM State,MA10 Gap,MA50 Gap,RSI,MACD > Signal,MACD Hist > 0,Date
META,$658.79,Bull (Low Vol),-0.33%,+1.30%,51.7,False,False,2026-01-05
AVGO,$343.42,Neutral (Choppy),-1.01%,-4.95%,43.0,False,False,2026-01-05
ORCL,$192.59,Neutral (Choppy),-1.59%,-12.21%,41.1,True,True,2026-01-05
AMZN,$233.06,Bull (Low Vol),+0.99%,+0.53%,55.0,True,True,2026-01-05
MU,$312.15,Neutral (Choppy),+8.02%,+27.69%,70.2,True,True,2026-01-05
AMD,$221.08,Neutral (Choppy),+2.21%,-2.80%,53.9,True,True,2026-01-05
MSFT,$478.51,Bull (Low Vol),-0.93%,-3.03%,43.9,False,False,2026-01-06
AAPL,$262.36,Neutral (Choppy),-3.18%,-3.90%,29.9,False,False,2026-01-06
GOOGL,$314.34,Neutral (Choppy),+0.17%,+4.68%,57.2,False,False,2026-01-06
NVDA,$187.24,Neutral (Choppy),-0.33%,+0.26%,53.7,True,True,2026-01-06
TSLA,$432.96,Bull (Low Vol),-6.31%,-2.69%,42.0,False,False,2026-01-06
TSM,$327.43,Bull (Low Vol),+6.81%,+11.36%,71.7,True,True,2026-01-06
META,$660.62,Bull (Low Vol),-0.09%,+1.81%,52.6,False,False,2026-01-06
AVGO,$343.77,Neutral (Choppy),-1.02%,-4.85%,43.3,False,False,2026-01-06
ORCL,$193.75,Bull (Low Vol),-1.08%,-10.98%,42.3,True,True,2026-01-06
AMZN,$240.93,Neutral (Choppy),+3.79%,+3.75%,63.6,True,True,2026-01-06
MU,$343.43,Bear (High Vol),+15.74%,+38.93%,76.4,True,True,2026-01-06
AMD,$214.35,Neutral (Choppy),-0.94%,-5.59%,47.6,True,True,2026-01-06
MSFT,$483.47,Bull (Low Vol),+0.13%,-1.87%,48.9,True,True,2026-01-07
AAPL,$260.33,Bull (Low Vol),-3.55%,-4.63%,27.6,False,False,2026-01-07
GOOGL,$321.98,Bull (Low Vol),+2.20%,+6.78%,64.2,False,False,2026-01-07
NVDA,$189.11,Bull (Low Vol),+0.38%,+1.23%,56.2,True,True,2026-01-07
TSLA,$431.41,Bull (Low Vol),-5.48%,-3.03%,41.5,False,False,2026-01-07
TSM,$318.68,Bull (Low Vol),+3.10%,+8.20%,63.0,True,True,2026-01-07
META,$648.69,Bull (Low Vol),-1.70%,+0.24%,46.5,False,False,2026-01-07
AVGO,$343.50,Neutral (Choppy),-1.16%,-4.87%,43.1,False,False,2026-01-07
ORCL,$192.84,Bull (Low Vol),-1.27%,-10.65%,41.6,True,True,2026-01-07
AMZN,$241.56,Bear (High Vol),+3.47%,+3.86%,64.2,True,True,2026-01-07
MU,$339.55,Neutral (Choppy),+12.05%,+36.04%,74.4,True,True,2026-01-07
AMD,$210.02,Bull (Low Vol),-2.72%,-7.14%,44.1,True,True,2026-01-07
MSFT,$478.11,Bull (Low Vol),-0.80%,-2.75%,44.3,True,True,2026-01-08
AAPL,$259.04,Bull (Low Vol),-3.56%,-5.03%,26.3,False,False,2026-01-08
GOOGL,$325.44,Neutral (Choppy),+2.94%,+7.52%,66.8,True,True,2026-01-08
NVDA,$185.04,Neutral (Choppy),-1.56%,-0.88%,50.0,True,True,2026-01-08
TSLA,$435.80,Bull (Low Vol),-3.46%,-1.97%,43.5,False,False,2026-01-08
TSM,$318.01,Bull (Low Vol),+2.19%,+7.83%,62.4,True,True,2026-01-08
META,$646.06,Bull (Low Vol),-1.82%,+0.16%,45.3,False,False,2026-01-08
AVGO,$332.48,Neutral (Choppy),-3.87%,-7.78%,37.6,False,False,2026-01-08
ORCL,$189.65,Neutral (Choppy),-2.62%,-11.38%,39.1,True,True,2026-01-08
AMZN,$246.29,Bull (Low Vol),+4.86%,+5.72%,68.3,True,True,2026-01-08
MU,$327.02,Bear (High Vol),+6.13%,+29.90%,67.9,True,True,2026-01-08
AMD,$204.68,Neutral (Choppy),-4.74%,-9.06%,40.1,False,False,2026-01-08
MSFT,$479.28,Bull (Low Vol),-0.38%,-2.26%,45.5,True,True,2026-01-09
AAPL,$259.37,Bull (Low Vol),-2.91%,-4.85%,27.3,False,False,2026-01-09
GOOGL,$328.57,Bull (Low Vol),+3.46%,+8.12%,69.0,True,True,2026-01-09
NVDA,$184.86,Bull (Low Vol),-1.46%,-0.81%,49.7,True,True,2026-01-09
TSLA,$445.01,Bull (Low Vol),-0.53%,+0.17%,47.6,False,False,2026-01-09
TSM,$323.63,Bull (Low Vol),+3.17%,+9.56%,65.5,True,True,2026-01-09
META,$653.06,Bull (Low Vol),-0.53%,+1.55%,49.2,False,False,2026-01-09
AVGO,$344.97,Neutral (Choppy),-0.10%,-4.17%,46.0,False,False,2026-01-09
ORCL,$198.52,Bear (High Vol),+1.88%,-6.51%,48.2,True,True,2026-01-09
AMZN,$247.38,Bull (Low Vol),+4.66%,+6.03%,69.2,True,True,2026-01-09
MU,$345.09,Bear (High Vol),+9.91%,+35.75%,71.7,True,True,2026-01-09
AMD,$203.17,Bull (Low Vol),-4.92%,-9.29%,39.0,False,False,2026-01-09
MSFT,$477.18,Bull (Low Vol),-0.60%,-2.44%,43.6,True,True,2026-01-12
AAPL,$260.25,Bull (Low Vol),-2.10%,-4.46%,30.0,False,False,2026-01-12
GOOGL,$331.86,Neutral (Choppy),+3.89%,+8.79%,71.2,True,True,2026-01-12
NVDA,$184.94,Bull (Low Vol),-1.12%,-0.53%,49.8,True,True,2026-01-12
TSLA,$448.96,Neutral (Choppy),+0.94%,+1.12%,49.3,False,False,2026-01-12
TSM,$331.77,Neutral (Choppy),+4.80%,+12.11%,69.4,True,True,2026-01-12
META,$641.97,Bull (Low Vol),-1.90%,+0.17%,43.9,False,False,2026-01-12
AVGO,$352.21,Bull (Low Vol),+1.99%,-1.98%,50.2,True,True,2026-01-12
ORCL,$204.68,Bear (High Vol),+4.90%,-2.72%,53.7,True,True,2026-01-12
AMZN,$246.47,Bull (Low Vol),+3.66%,+5.49%,67.5,True,True,2026-01-12
MU,$345.87,Bull (Low Vol),+8.05%,+34.79%,71.9,True,True,2026-01-12
AMD,$207.69,Bull (Low Vol),-2.47%,-6.80%,43.8,False,False,2026-01-12
MSFT,$470.67,Bull (Low Vol),-1.62%,-3.56%,38.5,False,False,2026-01-13
AAPL,$261.05,Bull (Low Vol),-1.33%,-4.09%,32.5,False,False,2026-01-13
GOOGL,$335.97,Bull (Low Vol),+4.45%,+9.74%,73.7,True,True,2026-01-13
NVDA,$185.81,Bull (Low Vol),-0.53%,+0.12%,51.3,False,False,2026-01-13
TSLA,$447.20,Neutral (Choppy),+0.83%,+0.69%,48.5,False,False,2026-01-13
TSM,$331.21,Bull (Low Vol),+3.63%,+11.70%,68.8,True,True,2026-01-13
META,$631.09,Bull (Low Vol),-3.16%,-1.42%,39.4,False,False,2026-01-13
AVGO,$354.61,Bull (Low Vol),+2.53%,-1.19%,51.5,True,True,2026-01-13
ORCL,$202.29,Neutral (Choppy),+3.28%,-3.36%,51.6,True,True,2026-01-13
AMZN,$242.60,Bull (Low Vol),+1.59%,+3.66%,60.7,True,True,2026-01-13
MU,$338.13,Neutral (Choppy),+4.21%,+30.61%,67.9,True,True,2026-01-13
AMD,$220.97,Bull (Low Vol),+3.50%,-0.54%,55.1,True,True,2026-01-13
MSFT,$459.38,Neutral (Choppy),-3.41%,-5.65%,31.5,False,False,2026-01-14
AAPL,$259.96,Bull (Low Vol),-1.25%,-4.42%,30.9,False,False,2026-01-14
GOOGL,$335.84,Neutral (Choppy),+3.70%,+9.31%,73.5,True,True,2026-01-14
NVDA,$183.14,Bull (Low Vol),-1.73%,-1.11%,46.9,False,False,2026-01-14
TSLA,$439.20,Neutral (Choppy),-0.63%,-1.04%,45.1,False,False,2026-01-14
TSM,$327.11,Bull (Low Vol),+1.47%,+10.11%,64.6,True,True,2026-01-14
META,$615.52,Bull (Low Vol),-4.81%,-3.76%,34.1,False,False,2026-01-14
AVGO,$339.89,Neutral (Choppy),-1.44%,-5.14%,43.8,True,True,2026-01-14
ORCL,$193.61,Bear (High Vol),-0.99%,-6.90%,44.6,True,True,2026-01-14
AMZN,$236.65,Bull (Low Vol),-1.08%,+1.18%,52.0,True,True,2026-01-14
MU,$333.35,Bull (Low Vol),+1.46%,+27.69%,65.5,True,True,2026-01-14
AMD,$223.60,Bull (Low Vol),+4.33%,+0.94%,57.0,True,True,2026-01-14
MSFT,$456.66,Bull (Low Vol),-3.44%,-5.98%,30.1,False,False,2026-01-15
AAPL,$258.21,Bull (Low Vol),-1.40%,-4.99%,28.4,False,False,2026-01-15
GOOGL,$332.78,Neutral (Choppy),+2.13%,+7.97%,68.4,True,True,2026-01-15
NVDA,$187.05,Bull (Low Vol),+0.34%,+1.22%,53.2,False,False,2026-01-15
TSLA,$438.57,Bull (Low Vol),-0.53%,-1.05%,44.9,False,False,2026-01-15
TSM,$341.64,Neutral (Choppy),+4.75%,+14.71%,71.3,True,True,2026-01-15
META,$620.80,Bull (Low Vol),-3.41%,-2.88%,37.2,False,False,2026-01-15
AVGO,$343.02,Bull (Low Vol),-0.44%,-4.17%,45.6,True,True,2026-01-15
ORCL,$189.85,Neutral (Choppy),-2.69%,-8.11%,42.0,True,True,2026-01-15
AMZN,$238.18,Bull (Low Vol),-0.74%,+1.97%,53.8,True,True,2026-01-15
MU,$336.63,Bull (Low Vol),+0.89%,+27.94%,66.4,True,True,2026-01-15
AMD,$227.92,Bull (Low Vol),+5.67%,+3.19%,59.9,True,True,2026-01-15
MSFT,$459.86,Bull (Low Vol),-2.49%,-5.11%,33.8,False,False,2026-01-16
AAPL,$255.53,Bull (Low Vol),-1.85%,-5.88%,25.2,False,False,2026-01-16
GOOGL,$330.00,Neutral (Choppy),+0.82%,+6.70%,64.0,True,True,2026-01-16
NVDA,$186.23,Bull (Low Vol),+0.04%,+0.91%,51.8,False,False,2026-01-16
TSLA,$437.50,Bull (Low Vol),-0.75%,-1.26%,44.4,False,False,2026-01-16
TSM,$342.40,Bull (Low Vol),+4.26%,+14.59%,71.6,True,True,2026-01-16
META,$620.25,Bull (Low Vol),-3.04%,-2.95%,37.0,False,False,2026-01-16
AVGO,$351.71,Bull (Low Vol),+1.96%,-1.74%,50.6,True,True,2026-01-16
ORCL,$191.09,Neutral (Choppy),-1.85%,-7.00%,43.2,True,True,2026-01-16
AMZN,$239.12,Bull (Low Vol),-0.87%,+2.46%,55.0,True,True,2026-01-16
MU,$362.75,Bear (High Vol),+7.20%,+36.37%,72.4,True,True,2026-01-16
AMD,$231.83,Bull (Low Vol),+7.07%,+5.13%,62.4,True,True,2026-01-16
MSFT,$454.52,Bull (Low Vol),-3.25%,-6.01%,30.8,False,False,2026-01-20
AAPL,$246.70,Neutral (Choppy),-4.48%,-8.98%,17.9,False,False,2026-01-20
GOOGL,$322.00,Neutral (Choppy),-1.79%,+3.86%,53.5,True,True,2026-01-20
NVDA,$178.07,Bull (Low Vol),-3.82%,-3.33%,40.4,False,False,2026-01-20
TSLA,$419.25,Bull (Low Vol),-4.19%,-5.19%,37.2,False,False,2026-01-20
TSM,$327.16,Bull (Low Vol),-0.53%,+9.24%,58.3,True,True,2026-01-20
META,$604.12,Bull (Low Vol),-4.75%,-5.38%,31.7,False,False,2026-01-20
AVGO,$332.60,Neutral (Choppy),-3.28%,-6.95%,41.6,True,True,2026-01-20
ORCL,$179.92,Bear (High Vol),-7.00%,-11.84%,36.0,True,True,2026-01-20
AMZN,$231.00,Neutral (Choppy),-4.16%,-0.85%,44.7,False,False,2026-01-20
MU,$365.00,Neutral (Choppy),+6.20%,+35.91%,72.9,True,True,2026-01-20
AMD,$231.92,Neutral (Choppy),+6.57%,+5.40%,62.4,True,True,2026-01-20
MSFT,$444.11,Bear (High Vol),-4.76%,-7.97%,26.0,False,False,2026-01-21
AAPL,$247.65,Neutral (Choppy),-3.57%,-8.48%,20.6,False,False,2026-01-21
GOOGL,$328.38,Bear (High Vol),-0.27%,+5.62%,59.3,False,False,2026-01-21
NVDA,$183.32,Bull (Low Vol),-0.78%,-0.43%,48.3,False,False,2026-01-21
TSLA,$431.44,Bull (Low Vol),-1.37%,-2.37%,43.8,False,False,2026-01-21
TSM,$326.12,Bull (Low Vol),-0.81%,+8.62%,57.5,True,True,2026-01-21
META,$612.96,Bull (Low Vol),-2.62%,-3.98%,37.0,False,False,2026-01-21
AVGO,$328.80,Neutral (Choppy),-3.97%,-7.87%,40.1,False,False,2026-01-21
ORCL,$173.88,Bear (High Vol),-9.22%,-14.22%,32.8,False,False,2026-01-21
AMZN,$231.31,Neutral (Choppy),-3.64%,-0.62%,45.1,False,False,2026-01-21
MU,$389.11,Neutral (Choppy),+11.73%,+43.28%,77.2,True,True,2026-01-21
AMD,$249.80,Bear (High Vol),+12.95%,+13.41%,71.7,True,True,2026-01-21
MSFT,$451.14,Neutral (Choppy),-2.58%,-6.34%,33.6,False,False,2026-01-22
AAPL,$248.35,Bull (Low Vol),-2.84%,-8.09%,22.6,False,False,2026-01-22
GOOGL,$330.54,Neutral (Choppy),+0.12%,+5.96%,61.0,False,False,2026-01-22
NVDA,$184.84,Bull (Low Vol),+0.28%,+0.43%,50.3,False,False,2026-01-22
TSLA,$449.36,Bull (Low Vol),+2.31%,+1.59%,51.8,False,False,2026-01-22
TSM,$327.37,Bull (Low Vol),-0.69%,+8.73%,58.2,False,False,2026-01-22
META,$647.63,Neutral (Choppy),+2.91%,+1.37%,52.6,False,False,2026-01-22
AVGO,$325.49,Neutral (Choppy),-4.43%,-8.68%,38.8,False,False,2026-01-22
ORCL,$178.18,Bear (High Vol),-6.28%,-11.57%,37.1,False,False,2026-01-22
AMZN,$234.34,Bull (Low Vol),-2.09%,+0.77%,49.2,False,False,2026-01-22
MU,$397.58,Neutral (Choppy),+12.29%,+44.69%,78.5,True,True,2026-01-22
AMD,$253.73,Bull (Low Vol),+12.50%,+14.98%,73.3,True,True,2026-01-22
MSFT,$465.95,Bear (High Vol),+0.88%,-3.10%,46.1,False,False,2026-01-23
AAPL,$248.04,Bull (Low Vol),-2.54%,-8.05%,22.3,False,False,2026-01-23
GOOGL,$327.93,Neutral (Choppy),-0.74%,+4.87%,57.8,False,False,2026-01-23
NVDA,$187.67,Bull (Low Vol),+1.67%,+2.09%,54.0,False,False,2026-01-23
TSLA,$449.06,Bull (Low Vol),+1.93%,+1.51%,51.6,False,False,2026-01-23
TSM,$334.87,Bull (Low Vol),+1.07%,+10.93%,62.4,False,False,2026-01-23
META,$658.76,Bull (Low Vol),+4.46%,+3.02%,56.3,True,True,2026-01-23
AVGO,$320.05,Neutral (Choppy),-5.68%,-10.02%,36.6,False,False,2026-01-23
ORCL,$177.16,Bear (High Vol),-6.22%,-11.52%,36.5,False,False,2026-01-23
AMZN,$239.16,Neutral (Choppy),+0.23%,+2.93%,54.9,False,False,2026-01-23
MU,$399.65,Neutral (Choppy),+10.61%,+43.91%,78.8,True,True,2026-01-23
AMD,$259.68,Bull (Low Vol),+12.40%,+17.51%,75.5,True,True,2026-01-23
MSFT,$470.28,Neutral (Choppy),+2.02%,-2.05%,49.1,False,False,2026-01-26
AAPL,$255.41,Bull (Low Vol),+0.51%,-5.18%,40.3,False,False,2026-01-26
GOOGL,$333.26,Neutral (Choppy),+0.73%,+6.29%,62.2,False,False,2026-01-26
NVDA,$186.47,Bull (Low Vol),+0.93%,+1.51%,52.2,False,False,2026-01-26
TSLA,$435.20,Bull (Low Vol),-1.00%,-1.61%,45.8,False,False,2026-01-26
TSM,$332.71,Bull (Low Vol),+0.14%,+9.90%,60.5,False,False,2026-01-26
META,$672.36,Bull (Low Vol),+6.29%,+5.00%,60.4,True,True,2026-01-26
AVGO,$324.85,Bull (Low Vol),-3.70%,-8.53%,39.8,False,False,2026-01-26
ORCL,$182.44,Bear (High Vol),-2.60%,-8.40%,41.7,False,False,2026-01-26
AMZN,$238.42,Bull (Low Vol),+0.29%,+2.70%,53.9,False,False,2026-01-26
MU,$389.09,Bull (Low Vol),+6.39%,+38.63%,72.9,True,True,2026-01-26
AMD,$251.31,Neutral (Choppy),+6.56%,+13.58%,67.1,True,True,2026-01-26
MSFT,$480.58,Bear (High Vol),+4.18%,+0.22%,55.5,True,True,2026-01-27
AAPL,$258.27,Bull (Low Vol),+1.71%,-4.01%,45.6,False,False,2026-01-27
GOOGL,$334.55,Neutral (Choppy),+1.03%,+6.37%,63.2,False,False,2026-01-27
NVDA,$188.52,Bull (Low Vol),+1.84%,+2.69%,54.9,True,True,2026-01-27
TSLA,$430.90,Neutral (Choppy),-1.57%,-2.58%,44.1,False,False,2026-01-27
TSM,$338.34,Bull (Low Vol),+1.64%,+11.41%,63.6,False,False,2026-01-27
META,$672.97,Bull (Low Vol),+5.87%,+4.88%,60.6,True,True,2026-01-27
AVGO,$332.79,Bull (Low Vol),-0.77%,-6.18%,44.7,False,False,2026-01-27
ORCL,$174.90,Bear (High Vol),-5.12%,-11.73%,37.0,False,False,2026-01-27
AMZN,$244.68,Bull (Low Vol),+3.00%,+5.39%,60.5,True,True,2026-01-27
MU,$410.24,Bull (Low Vol),+10.23%,+44.47%,76.7,True,True,2026-01-27
AMD,$252.03,Bull (Low Vol),+4.89%,+13.97%,67.4,True,True,2026-01-27
